"cell_type","replicate","stim_type","stim_level","stim_unit","time","ratio_dye_A","ratio_dye_B","merged_nuclei","nuclearity","A","B"
"BJ","replicate_1","OSM",10,"ng/ml",30,0.4257,1.8854,"no","bi-nuclear",15.8304,20.6812
"BJ","replicate_1","OSM",10,"ng/ml",30,2.5387,0.6006,"no","bi-nuclear",12.0635,11.5926
"BJ","replicate_1","OSM",10,"ng/ml",30,2.0211,0.3967,"no","bi-nuclear",17.1715,12.9964
"BJ","replicate_1","OSM",10,"ng/ml",30,2.359,0.5939,"no","bi-nuclear",20.4153,16.6318
"BJ","replicate_1","OSM",10,"ng/ml",30,2.0814,0.3517,"no","bi-nuclear",24.2692,28.0653
"BJ","replicate_1","OSM",10,"ng/ml",30,0.4425,1.6851,"no","bi-nuclear",19.0527,11.1342
"BJ","replicate_1","OSM",10,"ng/ml",15,0.4604,1.7485,"no","bi-nuclear",16.3099,14.3939
"BJ","replicate_1","OSM",10,"ng/ml",15,0.3559,1.7011,"no","bi-nuclear",16.5579,18.4244
"BJ","replicate_1","OSM",10,"ng/ml",15,2.7693,0.5573,"no","bi-nuclear",17.2773,14.5814
"BJ","replicate_1","OSM",10,"ng/ml",15,2.7941,1.3953,"no","bi-nuclear",15.533,13.5947
"BJ","replicate_1","OSM",10,"ng/ml",15,0.4602,1.7875,"no","bi-nuclear",13.0026,14.746
"BJ","replicate_1","OSM",10,"ng/ml",15,2.9717,1.0019,"no","bi-nuclear",8.7225,15.8798
"BJ","replicate_1","OSM",10,"ng/ml",15,2.4831,0.6096,"no","bi-nuclear",9.3205,11.7998
"BJ","replicate_1","OSM",10,"ng/ml",15,2.2518,0.5079,"no","bi-nuclear",10.448,15.7103
"BJ","replicate_1","OSM",10,"ng/ml",15,0.3843,1.737,"no","bi-nuclear",7.3731,7.3681
"BJ","replicate_1","OSM",10,"ng/ml",15,2.05,0.6993,"no","bi-nuclear",11.6112,13.779
"BJ","replicate_1","OSM",10,"ng/ml",15,2.4079,0.4154,"no","bi-nuclear",15.9826,16.838
"BJ","replicate_1","OSM",10,"ng/ml",15,0.403,11.8052,"no","bi-nuclear",9.3704,25.3528
"BJ","replicate_1","OSM",10,"ng/ml",15,0.2928,1.8364,"no","bi-nuclear",12.1503,14.4258
"BJ","replicate_1","OSM",10,"ng/ml",15,0.3249,1.5691,"no","bi-nuclear",10.7154,13.0854
"BJ","replicate_1","OSM",10,"ng/ml",15,0.3722,1.5638,"no","bi-nuclear",11.2963,14.3845
"BJ","replicate_1","OSM",10,"ng/ml",15,0.3977,1.8568,"no","bi-nuclear",15.0545,9.5751
"BJ","replicate_1","OSM",10,"ng/ml",15,2.4139,1.0776,"no","bi-nuclear",13.7691,29.849
"BJ","replicate_1","OSM",10,"ng/ml",15,2.0142,0.6069,"no","bi-nuclear",11.4519,7.238
"BJ","replicate_1","OSM",10,"ng/ml",15,0.483,1.4129,"no","bi-nuclear",11.6777,12.0803
"BJ","replicate_1","OSM",10,"ng/ml",15,2.7574,0.7228,"no","bi-nuclear",8.0519,6.0442
"BJ","replicate_1","OSM",10,"ng/ml",15,2.9659,0.4458,"no","bi-nuclear",15.908,13.7621
"BJ","replicate_1","OSM",10,"ng/ml",15,1.8517,0.9237,"no","bi-nuclear",12.1186,17.3259
"BJ","replicate_1","OSM",10,"ng/ml",15,3.3046,1.311,"no","bi-nuclear",11.2427,13.0492
"BJ","replicate_1","OSM",10,"ng/ml",15,1.9909,0.3111,"no","bi-nuclear",16.3019,15.5468
"BJ","replicate_1","OSM",10,"ng/ml",15,0.3978,1.6258,"no","bi-nuclear",20.5247,20.6994
"BJ","replicate_1","OSM",10,"ng/ml",15,0.304,1.5039,"no","bi-nuclear",9.7552,16.2309
"BJ","replicate_1","OSM",10,"ng/ml",15,0.4458,3.24,"no","bi-nuclear",24.8996,20.6919
"BJ","replicate_1","OSM",10,"ng/ml",15,0.436,1.8368,"no","bi-nuclear",10.2089,7.9374
"BJ","replicate_1","OSM",10,"ng/ml",15,2.7274,0.6364,"no","bi-nuclear",11.0391,17.9426
"BJ","replicate_1","OSM",10,"ng/ml",15,2.2617,0.4642,"no","bi-nuclear",10.2492,12.1193
"BJ","replicate_1","OSM",10,"ng/ml",15,0.3457,1.7371,"no","bi-nuclear",12.8126,16.0392
"BJ","replicate_1","OSM",10,"ng/ml",15,2.4107,0.4988,"no","bi-nuclear",11.5297,14.2265
"BJ","replicate_1","OSM",10,"ng/ml",15,2.1281,0.4393,"no","bi-nuclear",8.9536,6.0867
"BJ","replicate_1","OSM",10,"ng/ml",15,1.9504,0.4042,"no","bi-nuclear",17.0787,28.9233
"BJ","replicate_1","OSM",10,"ng/ml",15,2.3289,0.5143,"no","bi-nuclear",9.1246,8.4746
"BJ","replicate_1","OSM",10,"ng/ml",15,0.3634,2.455,"no","bi-nuclear",24.8935,20.9491
"BJ","replicate_1","OSM",10,"ng/ml",15,2.0248,0.6775,"no","bi-nuclear",20.4144,20.952
"BJ","replicate_1","OSM",10,"ng/ml",15,0.4266,1.7736,"no","bi-nuclear",23.0128,22.7853
"BJ","replicate_1","OSM",10,"ng/ml",15,2.5319,0.4569,"no","bi-nuclear",19.7946,14.3914
"BJ","replicate_1","OSM",10,"ng/ml",15,0.3304,1.4907,"no","bi-nuclear",16.0097,14.0874
"BJ","replicate_1","OSM",10,"ng/ml",15,0.3257,1.6086,"no","bi-nuclear",24.2982,21.6475
"BJ","replicate_1","OSM",10,"ng/ml",15,1.8086,0.5449,"no","bi-nuclear",18.2626,16.0563
"BJ","replicate_1","OSM",10,"ng/ml",15,0.3632,1.8267,"no","bi-nuclear",18.2765,16.9623
"BJ","replicate_1","OSM",10,"ng/ml",15,3.1626,0.5262,"no","bi-nuclear",15.4194,12.5331
"BJ","replicate_1","OSM",10,"ng/ml",15,1.8883,0.425,"no","bi-nuclear",7.8185,8.8129
"BJ","replicate_1","OSM",10,"ng/ml",15,2.3752,0.5333,"no","bi-nuclear",12.4323,13.9645
"BJ","replicate_1","OSM",10,"ng/ml",15,0.2899,1.4159,"no","bi-nuclear",11.3984,14.2807
"BJ","replicate_1","OSM",10,"ng/ml",15,1.9023,0.5392,"no","bi-nuclear",11.0031,12.8756
"BJ","replicate_1","OSM",10,"ng/ml",15,0.4756,2.1402,"no","bi-nuclear",18.7798,17.5057
"BJ","replicate_1","OSM",10,"ng/ml",15,1.9229,0.4922,"no","bi-nuclear",7.9821,12.8363
"BJ","replicate_1","OSM",10,"ng/ml",15,2.6303,0.5186,"no","bi-nuclear",14.3987,10.5614
"BJ","replicate_1","OSM",10,"ng/ml",15,0.51,2.1931,"no","bi-nuclear",9.44,9.9011
"BJ","replicate_1","OSM",10,"ng/ml",15,2.3275,0.5107,"no","bi-nuclear",14.4243,20.4279
"BJ","replicate_1","OSM",10,"ng/ml",15,0.4277,2.0428,"no","bi-nuclear",15.4418,15.3345
"BJ","replicate_1","OSM",10,"ng/ml",15,2.2496,0.4468,"no","bi-nuclear",12.949,18.3818
"BJ","replicate_1","OSM",10,"ng/ml",15,3.3903,0.5902,"no","bi-nuclear",10.097,10.2246
"BJ","replicate_1","OSM",10,"ng/ml",15,2.4955,0.5237,"no","bi-nuclear",11.9673,11.9422
"BJ","replicate_1","OSM",10,"ng/ml",15,3.035,0.5864,"no","bi-nuclear",12.1696,9.4688
"BJ","replicate_1","OSM",10,"ng/ml",15,2.0589,0.4696,"no","bi-nuclear",13.3385,17.4285
"BJ","replicate_1","OSM",10,"ng/ml",15,2.0541,0.5328,"no","bi-nuclear",10.7348,16.9596
"BJ","replicate_1","OSM",10,"ng/ml",15,1.9547,0.398,"no","bi-nuclear",19.6027,23.1675
"BJ","replicate_1","OSM",10,"ng/ml",15,0.4872,1.9902,"no","bi-nuclear",11.2696,15.0225
"BJ","replicate_1","OSM",10,"ng/ml",15,0.3419,1.2451,"no","bi-nuclear",15.2494,13.539
"BJ","replicate_1","OSM",10,"ng/ml",15,0.4432,2.5002,"no","bi-nuclear",14.0108,13.2542
"BJ","replicate_1","OSM",10,"ng/ml",15,0.4484,1.1588,"no","bi-nuclear",9.541,15.5757
"BJ","replicate_1","OSM",10,"ng/ml",15,4.0115,0.7521,"no","bi-nuclear",12.1891,13.0819
"BJ","replicate_1","OSM",10,"ng/ml",15,0.3261,1.9555,"no","bi-nuclear",5.1563,7.4876
"BJ","replicate_1","OSM",10,"ng/ml",15,2.9071,0.351,"no","bi-nuclear",18.3917,14.8493
"BJ","replicate_1","OSM",10,"ng/ml",15,0.468,1.9056,"no","bi-nuclear",18.18,17.735
"BJ","replicate_1","OSM",10,"ng/ml",15,0.3704,1.695,"no","bi-nuclear",15.6846,13.6802
"BJ","replicate_1","OSM",10,"ng/ml",15,2.2552,0.5127,"no","bi-nuclear",5.5438,10.1815
"BJ","replicate_1","OSM",10,"ng/ml",15,2.611,0.3574,"no","bi-nuclear",8.7896,6.5961
"BJ","replicate_1","OSM",10,"ng/ml",15,2.4614,0.5621,"no","bi-nuclear",8.886,13.3213
"BJ","replicate_1","OSM",10,"ng/ml",15,3.9141,0.4512,"no","bi-nuclear",13.8224,7.9544
"BJ","replicate_1","OSM",10,"ng/ml",15,0.3514,1.833,"no","bi-nuclear",12.4033,14.3968
"BJ","replicate_1","OSM",10,"ng/ml",15,0.3946,1.7109,"no","bi-nuclear",11.3025,11.8626
"BJ","replicate_1","OSM",10,"ng/ml",15,1.6675,0.5357,"no","bi-nuclear",15.1314,13.7663
"BJ","replicate_1","OSM",10,"ng/ml",15,2.3184,0.5305,"no","bi-nuclear",5.7008,7.9711
"BJ","replicate_1","OSM",10,"ng/ml",15,0.4163,1.9498,"no","bi-nuclear",10.2742,14.4533
"BJ","replicate_1","OSM",10,"ng/ml",5,2.0062,0.316,"no","bi-nuclear",8.648,5.142
"BJ","replicate_1","OSM",10,"ng/ml",5,0.5111,2.1868,"no","bi-nuclear",12.9645,10.8982
"BJ","replicate_1","OSM",10,"ng/ml",5,0.3473,1.6613,"no","bi-nuclear",5.9259,7.1407
"BJ","replicate_1","OSM",10,"ng/ml",5,2.102,0.4933,"no","bi-nuclear",11.0502,10.7534
"BJ","replicate_1","OSM",10,"ng/ml",5,1.7335,0.744,"no","bi-nuclear",4.5836,11.8916
"BJ","replicate_1","OSM",10,"ng/ml",5,2.3879,0.5413,"no","bi-nuclear",8.0104,7.5713
"BJ","replicate_1","OSM",10,"ng/ml",5,0.3171,1.456,"no","bi-nuclear",9.3997,9.6779
"BJ","replicate_1","OSM",10,"ng/ml",5,3.0745,0.241,"no","bi-nuclear",8.6523,9.2693
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4144,1.1666,"no","bi-nuclear",6.786,6.8268
"BJ","replicate_1","OSM",10,"ng/ml",5,2.5722,0.8164,"no","bi-nuclear",13.4305,10.9701
"BJ","replicate_1","OSM",10,"ng/ml",5,0.5007,2.2539,"no","bi-nuclear",8.9462,8.379
"BJ","replicate_1","OSM",10,"ng/ml",5,2.614,0.7067,"no","bi-nuclear",6.5332,9.7523
"BJ","replicate_1","OSM",10,"ng/ml",5,0.3483,1.501,"no","bi-nuclear",12.0368,11.8386
"BJ","replicate_1","OSM",10,"ng/ml",5,1.771,0.4292,"no","bi-nuclear",8.0579,9.1788
"BJ","replicate_1","OSM",10,"ng/ml",5,2.1123,0.3186,"no","bi-nuclear",12.0057,15.5153
"BJ","replicate_1","OSM",10,"ng/ml",5,0.3773,1.7057,"no","bi-nuclear",8.0572,8.4309
"BJ","replicate_1","OSM",10,"ng/ml",5,2.2427,0.552,"no","bi-nuclear",14.2903,17.2073
"BJ","replicate_1","OSM",10,"ng/ml",5,2.3587,0.6642,"no","bi-nuclear",7.5209,8.3555
"BJ","replicate_1","OSM",10,"ng/ml",5,0.3543,1.4935,"no","bi-nuclear",10.5893,13.4021
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4633,1.4937,"no","bi-nuclear",11.8607,11.2689
"BJ","replicate_1","OSM",10,"ng/ml",5,1.6266,0.5307,"no","bi-nuclear",13.4638,11.1955
"BJ","replicate_1","OSM",10,"ng/ml",5,2.4752,0.5386,"no","bi-nuclear",11.7722,8.4446
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4327,1.9136,"no","bi-nuclear",13.7372,12.9035
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4082,1.5308,"no","bi-nuclear",4.2385,4.422
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4781,1.8908,"no","bi-nuclear",8.1833,7.0336
"BJ","replicate_1","OSM",10,"ng/ml",5,2.4575,0.5549,"no","bi-nuclear",8.6307,9.9142
"BJ","replicate_1","OSM",10,"ng/ml",5,0.3344,1.6998,"no","bi-nuclear",12.5494,10.0481
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4365,1.5334,"no","bi-nuclear",4.5915,5.6571
"BJ","replicate_1","OSM",10,"ng/ml",5,0.6412,1.6071,"no","bi-nuclear",3.3193,6.9749
"BJ","replicate_1","OSM",10,"ng/ml",5,2.3258,0.4499,"no","bi-nuclear",7.248,9.8729
"BJ","replicate_1","OSM",10,"ng/ml",5,1.9396,0.5502,"no","bi-nuclear",6.2157,4.9425
"BJ","replicate_1","OSM",10,"ng/ml",5,2.0219,0.4814,"no","bi-nuclear",13.8572,10.7953
"BJ","replicate_1","OSM",10,"ng/ml",5,0.5846,1.6975,"no","bi-nuclear",7.7778,7.1987
"BJ","replicate_1","OSM",10,"ng/ml",5,1.8939,0.5295,"no","bi-nuclear",3.723,3.5358
"BJ","replicate_1","OSM",10,"ng/ml",5,2.1041,0.6118,"no","bi-nuclear",6.7798,8.9492
"BJ","replicate_1","OSM",10,"ng/ml",5,0.3692,1.3721,"no","bi-nuclear",7.3498,8.5679
"BJ","replicate_1","OSM",10,"ng/ml",5,2.6101,0.6244,"no","bi-nuclear",4.7998,5.2583
"BJ","replicate_1","OSM",10,"ng/ml",5,2.0306,0.225,"no","bi-nuclear",8.5781,12.6283
"BJ","replicate_1","OSM",10,"ng/ml",5,0.3765,1.4605,"no","bi-nuclear",7.4147,4.5993
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4126,2.1582,"no","bi-nuclear",4.6222,4.8024
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4933,6.7179,"no","bi-nuclear",4.8001,4.1387
"BJ","replicate_1","OSM",10,"ng/ml",5,2.2858,0.5521,"no","bi-nuclear",5.6336,5.2969
"BJ","replicate_1","OSM",10,"ng/ml",5,2.0525,0.9039,"no","bi-nuclear",3.6735,9.8502
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4515,1.6695,"no","bi-nuclear",10.0826,9.5971
"BJ","replicate_1","OSM",10,"ng/ml",5,3.1272,0.5408,"no","bi-nuclear",10.251,9.5275
"BJ","replicate_1","OSM",10,"ng/ml",5,2.1357,0.2363,"no","bi-nuclear",13.2444,11.2618
"BJ","replicate_1","OSM",10,"ng/ml",5,4.0855,0.695,"no","bi-nuclear",13.4499,8.5179
"BJ","replicate_1","OSM",10,"ng/ml",5,0.3602,1.8323,"no","bi-nuclear",10.0322,7.7675
"BJ","replicate_1","OSM",10,"ng/ml",5,0.3741,1.9089,"no","bi-nuclear",8.5443,6.5808
"BJ","replicate_1","OSM",10,"ng/ml",5,2.0451,0.4597,"no","bi-nuclear",5.1366,4.9535
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4861,1.4385,"no","bi-nuclear",13.9042,14.3857
"BJ","replicate_1","OSM",10,"ng/ml",5,2.1546,0.405,"no","bi-nuclear",9.4178,11.1517
"BJ","replicate_1","OSM",10,"ng/ml",5,2.6993,0.3781,"no","bi-nuclear",9.624,8.171
"BJ","replicate_1","OSM",10,"ng/ml",5,2.3527,0.3481,"no","bi-nuclear",8.2609,8.8495
"BJ","replicate_1","OSM",10,"ng/ml",5,0.3757,1.8698,"no","bi-nuclear",2.4239,2.6769
"BJ","replicate_1","OSM",10,"ng/ml",5,0.3937,1.1845,"no","bi-nuclear",12.1004,11.9819
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4602,1.8662,"no","bi-nuclear",9.8286,11.4271
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4457,1.596,"no","bi-nuclear",10.2245,8.1594
"BJ","replicate_1","OSM",10,"ng/ml",5,2.8887,0.5433,"no","bi-nuclear",12.1921,10.5642
"BJ","replicate_1","OSM",10,"ng/ml",5,2.6125,1.276,"no","bi-nuclear",7.4848,6.5812
"BJ","replicate_1","OSM",10,"ng/ml",5,2.2326,0.6823,"no","bi-nuclear",6.8999,6.2986
"BJ","replicate_1","OSM",10,"ng/ml",5,0.3726,1.9704,"no","bi-nuclear",2.3487,2.6548
"BJ","replicate_1","OSM",10,"ng/ml",5,2.9031,0.6313,"no","bi-nuclear",2.8351,2.4735
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4495,2.3942,"no","bi-nuclear",9.7988,7.7624
"BJ","replicate_1","OSM",10,"ng/ml",5,4.217,0.7466,"no","bi-nuclear",2.9559,2.6303
"BJ","replicate_1","OSM",10,"ng/ml",5,2.0536,0.682,"no","bi-nuclear",11.9591,12.1235
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4956,1.6436,"no","bi-nuclear",7.1235,5.9253
"BJ","replicate_1","OSM",10,"ng/ml",5,4.8455,0.5627,"no","bi-nuclear",10.8482,11.414
"BJ","replicate_1","OSM",10,"ng/ml",5,0.3407,1.788,"no","bi-nuclear",7.7507,6.1055
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4788,2.3407,"no","bi-nuclear",15.8455,9.2417
"BJ","replicate_1","OSM",10,"ng/ml",5,1.7715,0.3808,"no","bi-nuclear",5.7488,6.0386
"BJ","replicate_1","OSM",10,"ng/ml",5,1.8931,0.5436,"no","bi-nuclear",2.1096,2.2811
"BJ","replicate_1","OSM",10,"ng/ml",5,0.5274,1.4808,"no","bi-nuclear",6.8502,4.9207
"BJ","replicate_1","OSM",10,"ng/ml",5,0.412,1.9227,"no","bi-nuclear",3.5006,4.2397
"BJ","replicate_1","OSM",10,"ng/ml",5,4.3464,0.7608,"no","bi-nuclear",2.7009,1.6134
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4208,1.8066,"no","bi-nuclear",9.7304,9.8037
"BJ","replicate_1","OSM",10,"ng/ml",5,0.5913,1.8742,"no","bi-nuclear",5.5956,3.8551
"BJ","replicate_1","OSM",10,"ng/ml",5,1.8114,0.5033,"no","bi-nuclear",12.5416,13.7167
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4145,2.0811,"no","bi-nuclear",10.1258,7.441
"BJ","replicate_1","OSM",10,"ng/ml",5,2.7384,0.2521,"no","bi-nuclear",2.8794,4.1689
"BJ","replicate_1","OSM",10,"ng/ml",5,0.5573,2.3051,"no","bi-nuclear",7.6239,7.2447
"BJ","replicate_1","OSM",10,"ng/ml",5,0.4138,2.157,"no","bi-nuclear",8.9358,10.6391
"BJ","replicate_1","OSM",10,"ng/ml",5,2.4877,0.3655,"no","bi-nuclear",5.7272,4.6378
"BJ","replicate_2","OSM",0,"ng/ml",30,1.0522,1.4122,"yes","bi-nuclear",1.2606,1.0503
"BJ","replicate_2","OSM",0,"ng/ml",30,1.0014,0.9222,"yes","bi-nuclear",1.1123,0.8731
"BJ","replicate_2","OSM",0,"ng/ml",30,1.1311,1.303,"yes","bi-nuclear",0.7858,0.5849
"BJ","replicate_2","OSM",0,"ng/ml",30,0.8778,0.8258,"yes","bi-nuclear",0.9499,1.0431
"BJ","replicate_2","OSM",0.1,"ng/ml",30,0.4711,0.8215,"yes","bi-nuclear",2.018,2.2854
"BJ","replicate_2","OSM",0.1,"ng/ml",30,0.9853,0.9331,"yes","bi-nuclear",0.4487,0.475
"BJ","replicate_2","OSM",1,"ng/ml",30,0.7384,0.8062,"yes","bi-nuclear",1.2479,1.029
"BJ","replicate_2","OSM",1,"ng/ml",30,0.8851,1.1754,"yes","bi-nuclear",0.71,0.4569
"BJ","replicate_2","OSM",1,"ng/ml",30,0.9853,0.8467,"yes","bi-nuclear",2.8824,2.4964
"BJ","replicate_2","OSM",1,"ng/ml",30,1.0911,0.9205,"yes","bi-nuclear",1.3049,1.5232
"BJ","replicate_2","OSM",10,"ng/ml",30,1.4228,0.9906,"yes","bi-nuclear",7.8583,7.6157
"BJ","replicate_2","OSM",0.1,"ng/ml",30,0.7844,0.5135,"yes","bi-nuclear",0.4931,1.1879
"BJ","replicate_2","OSM",0.1,"ng/ml",30,0.9974,0.9368,"yes","bi-nuclear",0.7085,0.6673
"BJ","replicate_2","OSM",0.1,"ng/ml",30,0.9986,1.1154,"yes","bi-nuclear",1.2174,1.0627
"BJ","replicate_2","OSM",1,"ng/ml",30,0.9068,1.0755,"yes","bi-nuclear",7.5225,7.6735
"BJ","replicate_2","OSM",1,"ng/ml",30,0.8621,1.0086,"yes","bi-nuclear",3.1969,3.8799
"BJ","replicate_2","OSM",1,"ng/ml",30,1.1225,0.8233,"yes","bi-nuclear",2.0096,2.9009
"BJ","replicate_2","OSM",1,"ng/ml",30,1.1632,1.2648,"yes","bi-nuclear",11.5567,7.1807
"BJ","replicate_2","OSM",10,"ng/ml",30,0.9986,1.3979,"yes","bi-nuclear",10.5856,6.8654
"BJ","replicate_2","OSM",10,"ng/ml",30,1.6069,1.6399,"yes","bi-nuclear",10.1195,10.3435
"BJ","replicate_2","OSM",10,"ng/ml",30,0.9482,0.9813,"yes","bi-nuclear",4.2078,3.9177
"BJ","replicate_2","OSM",10,"ng/ml",30,0.947,1.2534,"yes","bi-nuclear",11.9427,9.6398
"BJ","replicate_2","OSM",10,"ng/ml",15,1.2102,1.1477,"yes","bi-nuclear",7.4495,6.3551
"BJ","replicate_2","OSM",10,"ng/ml",15,0.7536,0.8157,"yes","bi-nuclear",2.5458,2.5942
"BJ","replicate_2","OSM",10,"ng/ml",5,1.1476,1.1747,"yes","bi-nuclear",3.1745,2.3663
"BJ","replicate_2","OSM",10,"ng/ml",5,1.1486,1.0522,"yes","bi-nuclear",2.2407,2.189
"BJ","replicate_2","OSM",10,"ng/ml",5,1.0173,0.5882,"yes","bi-nuclear",2.6061,3.2852
"BJ","replicate_2","OSM",10,"ng/ml",5,0.8374,0.9373,"yes","bi-nuclear",3.3656,4.7519
"BJ","replicate_2","OSM",0,"ng/ml",30,1.7292,0.3908,"no","bi-nuclear",1.8885,1.8618
"BJ","replicate_2","OSM",0,"ng/ml",30,2.1158,0.5072,"no","bi-nuclear",1.3195,1.2869
"BJ","replicate_2","OSM",0,"ng/ml",30,2.4586,0.5342,"no","bi-nuclear",1.6548,1.568
"BJ","replicate_2","OSM",0,"ng/ml",30,2.0476,0.5924,"no","bi-nuclear",1.0287,0.9591
"BJ","replicate_2","OSM",0,"ng/ml",30,0.5025,2.0924,"no","bi-nuclear",0.7584,0.7185
"BJ","replicate_2","OSM",0,"ng/ml",30,0.7842,1.3858,"no","bi-nuclear",1.6665,1.4522
"BJ","replicate_2","OSM",0,"ng/ml",30,0.3863,2.1806,"no","bi-nuclear",1.1539,1.3281
"BJ","replicate_2","OSM",0,"ng/ml",30,0.6546,1.7716,"no","bi-nuclear",0.5593,0.5256
"BJ","replicate_2","OSM",0,"ng/ml",30,2.1367,0.689,"no","bi-nuclear",0.6199,0.5301
"BJ","replicate_2","OSM",0,"ng/ml",30,1.1385,3.1418,"no","bi-nuclear",0.8153,0.816
"BJ","replicate_2","OSM",0,"ng/ml",30,2.3322,0.5761,"no","bi-nuclear",0.8432,0.6615
"BJ","replicate_2","OSM",0,"ng/ml",30,0.5452,1.9127,"no","bi-nuclear",0.7873,0.6232
"BJ","replicate_2","OSM",0,"ng/ml",30,2.4885,0.6885,"no","bi-nuclear",0.5268,0.645
"BJ","replicate_2","OSM",0,"ng/ml",30,0.4957,1.8623,"no","bi-nuclear",0.4662,0.5006
"BJ","replicate_2","OSM",0,"ng/ml",30,0.3722,1.4074,"no","bi-nuclear",0.6295,0.5685
"BJ","replicate_2","OSM",0,"ng/ml",30,3.0265,0.5564,"no","bi-nuclear",0.7848,0.756
"BJ","replicate_2","OSM",0,"ng/ml",30,2.7002,0.6147,"no","bi-nuclear",0.6185,0.559
"BJ","replicate_2","OSM",0,"ng/ml",30,2.2336,0.8831,"no","bi-nuclear",1.9413,1.283
"BJ","replicate_2","OSM",0,"ng/ml",30,3.3096,0.7419,"no","bi-nuclear",0.879,0.7352
"BJ","replicate_2","OSM",0,"ng/ml",30,0.5194,1.7024,"no","bi-nuclear",1.0508,1.0766
"BJ","replicate_2","OSM",0,"ng/ml",30,2.0517,0.68,"no","bi-nuclear",1.39,1.5002
"BJ","replicate_2","OSM",0,"ng/ml",30,2.2158,0.5082,"no","bi-nuclear",0.528,0.5979
"BJ","replicate_2","OSM",0,"ng/ml",30,2.6343,0.676,"no","bi-nuclear",1.3712,1.4065
